,coefs,coefs_with_stopword
tiana,-0.26405690393793446,-0.30327524718774673
powhatan,-0.2638990981013902,-0.21911066480281696
deeper,-0.26362927018615334,-0.3023495970598874
poppins,-0.2632732993273255,-0.2955242909793859
relax,-0.26270614965283634,-0.25077507461485027
famous,-0.2627042888091037,-0.3097563145916172
broom,-0.2598706925723067,-0.3199929104304142
knowing,-0.25957608170515334,-0.28423375676546764
lesson,-0.25894289028429884,-0.31930469934440686
carpet,-0.2586913182930589,-0.15906233796262914
becomes,-0.2581993021118513,
camels,-0.2580331535936266,-0.2947207379982055
someday,-0.25791751510541927,-0.43204890907219284
milk,-0.25736367159834717,-0.3586416031083548
mi,-0.2570161183728839,-0.477248787999892
smiled,-0.25632256598168723,-0.26526033268012045
present,-0.2559617474698437,-0.4703308017067208
oui,-0.25528184284903566,-0.2395016073306131
plantation,-0.25522277176253727,-0.9008158180547422
hardly,-0.25503411163409,-0.2655049431919725
am,-0.2545379947727544,
run,-0.2527715439486317,-0.4224000889353365
nanny,-0.25210834535623594,-0.044438119499025985
firm,-0.25178267050450226,-0.1802231988446843
un,-0.2505323354185053,
lost,-0.24972526089199792,-0.1005036629417557
slumber,-0.248883809389826,-0.14800122648719516
word,-0.24864903930332694,-0.5705998409991271
trace,-0.24863532872115335,-0.3700421132972199
turvy,-0.247236975665943,-0.5967836223900554
topsy,-0.247236975665943,-0.5967836223900554
candle,-0.24708377747027108,-0.3538466248006315
made,-0.24696539779804727,
nor,-0.24687224041164438,
warm,-0.24628113547392827,-0.27906868046415456
pounding,-0.2456242334521293,-0.2871778264658546
circles,-0.24539916225812103,-0.33058742117991324
spinning,-0.2451521660928575,-0.3472798587596483
close,-0.24383288511323015,-0.19244885935639472
save,-0.24374028963392433,-0.35768172291096684
jij,-0.24363170440270177,-0.2690510286450973
bold,-0.2430909315479434,-0.195285196780087
fast,-0.24217601989205492,-0.19008265876701338
hop,-0.24208512387088313,-0.2575531391870798
playin,-0.24198983042156097,-0.21617265106159286
takes,-0.2415331725506728,-0.22732143786382702
ta,-0.24131049282734038,-0.14552165305536435
quiet,-0.2409302722861738,-0.21510024917510315
killer,-0.24019064067500273,-0.24250754718935824
outrage,-0.24003799600203227,-0.2810665264737158
color,-0.23923927641281967,-0.47693332157885343
paw,-0.23917767098080414,-0.2715831194670777
townsfolk,-0.2391144778289136,-0.25989440442130973
bonjour,-0.2391144778289136,-0.25989440442130973
siyo,-0.23910361177555628,-0.2584784485557277
naveen,-0.23901101474507516,-0.277352506302668
whistle,-0.23900051550703588,-0.3278827002280444
weren,-0.23789639601777382,-0.2880128778896575
castle,-0.23758913753099073,-0.1327973363613696
wanted,-0.23737723656270876,-0.17736778133212178
dollar,-0.2361399378244587,-0.28266743577736614
separate,-0.23591861082829252,-0.2757446388708876
fix,-0.23484308940318216,-0.29313121985572876
busa,-0.23399151331293433,-0.29700827590751505
game,-0.2336363645894613,-0.13071263149397178
moment,-0.23344667220246934,-0.34889565166105074
dare,-0.23337771377022545,-0.17810221557826975
on,-0.23313881546377546,
open,-0.23290574911087597,-0.433485459721418
wax,-0.23246958550485425,-0.22080300404059328
sailors,-0.23016016322530358,-0.2521582401325694
shadow,-0.22976619667388315,-0.4002806131639296
fin,-0.22898612116954603,-0.28359190756583197
crime,-0.22849634034712832,-0.23149639341582282
owl,-0.228316038627192,-0.24928190008133982
everybody,-0.22808307081919152,-0.4577156809492492
older,-0.2275426094726389,-0.5225410379021688
helps,-0.22745798413575138,-0.2443802622043962
fees,-0.2274498302525108,-0.27977815119918775
dying,-0.22622225824466896,-0.28992080172683576
son,-0.2261152267606795,-0.18960121241869948
decide,-0.22603665690590902,-0.21267861017792097
jafar,-0.22593916848465356,-0.13915275257359014
win,-0.2257419960707061,-0.4255127404626118
exactly,-0.22565603923697475,-0.31171630264834044
happening,-0.2254844013087552,-0.23430979694850157
mom,-0.22546993440259558,-0.19945428340895613
stone,-0.22407611389085885,-0.17942446123910444
clown,-0.22377039088444656,-0.19119217596853819
nala,-0.2235888448300306,-0.28406985679207486
admit,-0.22353245103016928,-0.27076467502233725
ships,-0.22329488095351463,-0.21834987524491245
snort,-0.2223483683658858,-0.24001035654678793
followed,-0.22169501710632689,-0.2591199236755094
elsa,-0.22160572967876163,-0.30586908035386484
bank,-0.22112327004217272,-0.022157313620876404
sail,-0.22106896434243253,-0.19479317666486493
british,-0.22089635100599952,0.13741865757393934
times,-0.22079996522802095,-0.03405862828008877
everywhere,-0.22076254983400695,
wanna,-0.21961588123599812,-0.25323018165113437
vie,-0.21935572336256964,-0.18978009169884127
dogs,-0.2185336425889121,-0.23304062118055452
rabbit,-0.21849141502915664,-0.2293478748076931
horn,-0.21844748238182607,-0.23967689538243633
till,-0.21816968552095034,-0.08937237469767134
finding,-0.21750577490493062,-0.3110837943540794
baker,-0.21727529728927672,-0.27309671640701805
heigh,-0.21699197313977672,-0.29176776970106244
laugh,-0.21571974098900218,-0.34324759841966834
hours,-0.21562185755397612,-0.13832510958364896
dream,-0.21556285162457972,-0.04425054758087749
quite,-0.21543072990969092,-0.21845041151824415
tales,-0.21501089933486425,-0.288901014243475
teeth,-0.2148406514013715,-0.3448734344052262
je,-0.2147803011235678,-0.26143151952864185
mum,-0.21474406076344305,-0.33284306252072265
moving,-0.21390760339640943,-0.123935250499495
been,-0.21377640269879902,
blighter,-0.21350203772118082,-0.4087326008917879
chap,-0.21345023759861087,-0.24298968995895698
madame,-0.21280567122184874,-0.3673906251732641
granny,-0.2126943291622878,-0.2091817093765913
blast,-0.21256718077792525,-0.22252003016818866
stand,-0.21209895369204904,-0.33564367430894737
scream,-0.21191298302600933,-0.5529922008689727
one,-0.21138655686293653,
be,-0.2110714290178854,
credit,-0.21039199938059738,-0.14774540658757096
mood,-0.20966621039906305,-0.20169525120017961
slam,-0.20932485734754663,-0.1976390906184156
alle,-0.20882717520231578,-0.23061516741008337
niet,-0.20882717520231578,-0.23061516741008337
person,-0.20870717043408613,-0.1466742136427212
mrs,-0.20841057945536004,-0.19729176787368297
chased,-0.2081697557323271,-0.2521512878833695
treasures,-0.20754137502400263,-0.2949890833892869
yeah,-0.20753216185852677,-0.36580022152540315
bothered,-0.20663752727010357,-0.21143384371435417
